yearID,minSalary,avgSalary
1967,6000,19000
1968,10000,19000
1969,10000,24909
1970,12000,29303
1971,12750,31543
1972,13500,34092
1973,15000,36566
1974,15000,40839
1975,16000,44676
1976,19000,51501
1977,19000,76066
1978,21000,99876
1979,21000,113558
1980,30000,143756
1981,32500,185651
1982,33500,241497
1983,35000,289194
1984,40000,329408
1985,60000,371571
1986,60000,412520
1987,62500,412454
1988,62500,438729
1989,68000,497254
1990,100000,597537
1991,100000,851492
1992,109000,1028667
1993,109000,1076089
1994,109000,1168263
1995,109000,1110766
1996,122667,1119981
1997,150000,1336609
1998,170000,1398831
1999,200000,1611166
2000,200000,1895630
2001,200000,2138896
2002,200000,2295649
2003,300000,2372189
2004,300000,2313535
2005,316000,2476589
2006,327000,2699292
2007,380000,2824751
2008,390000,2925679
2009,400000,2996106
2010,400000,3014572
2011,414000,3095183
2012,480000,3650000
2013,490000,3390000
2014,500000,3820000
2015,507500,4250000
2016,507500,4380000
